code_muni;mun_pe;geom;mun_match;year;homic_f_all;homic_f_control;homic_f_treated;homic_m_all;homic_m_control;homic_m_treated;other_f_all;other_f_control;other_f_treated;other_m_all;other_m_control;other_m_treated
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2002;0;0;0;0;0;0;10;1;0;14;0;0
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2003;0;0;0;2;0;0;18;0;1;15;0;0
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2004;0;0;0;0;0;0;11;0;0;20;3;1
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2005;0;0;0;1;0;0;13;1;0;11;1;0
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2006;0;0;0;1;0;0;9;1;0;15;0;0
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2007;0;0;0;0;0;0;12;0;0;16;0;0
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2008;0;0;0;0;0;0;15;0;0;21;0;0
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2009;0;0;0;0;0;0;13;0;0;16;1;1
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2010;0;0;0;0;0;0;13;0;0;29;1;1
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2011;0;0;0;0;0;0;4;0;0;12;2;1
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2012;0;0;0;0;1;0;12;1;2;13;1;0
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2013;0;0;0;0;0;0;13;0;0;21;0;1
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2014;0;0;0;1;0;0;19;0;0;18;0;2
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2015;1;0;0;1;0;0;16;0;0;21;3;0
2200053;2600203;-41.0836378172387|-8.22078666287762;acau_a;2016;0;0;0;0;0;0;9;0;1;11;0;0
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2002;0;0;0;0;0;0;10;1;0;14;0;0
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2003;0;0;0;2;0;0;18;0;1;15;0;0
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2004;0;0;0;0;0;0;11;0;0;20;3;1
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2005;0;0;0;1;0;0;13;1;0;11;1;0
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2006;0;0;0;1;0;0;9;1;0;15;0;0
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2007;0;0;0;0;0;0;12;0;0;16;0;0
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2008;0;0;0;0;0;0;15;0;0;21;0;0
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2009;0;0;0;0;0;0;13;0;0;16;1;1
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2010;0;0;0;0;0;0;13;0;0;29;1;1
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2011;0;0;0;0;0;0;4;0;0;12;2;1
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2012;0;0;0;0;1;0;12;1;2;13;1;0
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2013;0;0;0;0;0;0;13;0;0;21;0;1
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2014;0;0;0;1;0;0;19;0;0;18;0;2
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2015;1;0;0;1;0;0;16;0;0;21;3;0
2200053;2605152;-41.0836378172387|-8.22078666287762;acau_a;2016;0;0;0;0;0;0;9;0;1;11;0;0
2200053;2612554;-41.0836378172387|-8.22078666287762;acau_a;2002;0;0;0;0;0;0;10;1;0;14;0;0
2200053;2612554;-41.0836378172387|-8.22078666287762;acau_a;2003;0;0;0;2;0;0;18;0;1;15;0;0
2200053;2612554;-41.0836378172387|-8.22078666287762;acau_a;2004;0;0;0;0;0;0;11;0;0;20;3;1
2200053;2612554;-41.0836378172387|-8.22078666287762;acau_a;2005;0;0;0;1;0;0;13;1;0;11;1;0
2200053;2612554;-41.0836378172387|-8.22078666287762;acau_a;2006;0;0;0;1;0;0;9;1;0;15;0;0
