code_muni;mun_pe;geom;mun_match;year;homic_f_all;homic_f_control;homic_f_treated;homic_m_all;homic_m_control;homic_m_treated;other_f_all;other_f_control;other_f_treated;other_m_all;other_m_control;other_m_treated
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2002;2;0;0;24;14;14;210;1;0;227;9;4
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2003;1;0;0;37;17;9;243;3;1;244;9;2
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2004;0;0;0;20;10;9;217;1;6;228;6;6
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2005;2;0;0;30;15;6;229;2;2;257;5;1
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2006;5;0;0;42;15;9;237;4;5;225;6;2
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2007;7;1;0;22;18;15;233;4;2;252;3;8
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2008;3;0;0;29;17;14;241;2;0;239;7;1
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2009;3;0;0;32;13;18;218;2;0;270;8;2
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2010;4;1;1;23;18;11;234;2;1;269;5;0
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2011;2;1;2;27;9;4;271;1;1;290;8;1
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2012;2;1;0;28;8;13;236;1;2;299;5;4
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2013;0;0;1;24;6;5;261;1;2;314;6;5
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2014;3;1;0;20;13;7;281;1;3;322;5;2
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2015;1;1;0;27;12;8;312;1;0;327;5;0
2600054;2600054;-34.8991305847304|-7.90444899;abreu_e_lima;2016;3;0;0;18;14;11;290;1;2;325;5;4
2600104;2600104;-37.6376860181022|-7.74832758583151;afogados_da_ingazeira;2002;0;0;0;5;1;3;81;1;0;104;1;2
2600104;2600104;-37.6376860181022|-7.74832758583151;afogados_da_ingazeira;2003;0;0;0;1;1;2;93;0;2;97;6;1
2600104;2600104;-37.6376860181022|-7.74832758583151;afogados_da_ingazeira;2004;0;0;0;4;4;1;81;1;0;93;2;2
2600104;2600104;-37.6376860181022|-7.74832758583151;afogados_da_ingazeira;2005;3;0;0;1;1;1;93;0;0;105;1;2
2600104;2600104;-37.6376860181022|-7.74832758583151;afogados_da_ingazeira;2006;0;0;0;3;1;1;96;0;1;97;5;0
2600104;2600104;-37.6376860181022|-7.74832758583151;afogados_da_ingazeira;2007;0;0;1;4;2;1;97;0;0;103;3;0
2600104;2600104;-37.6376860181022|-7.74832758583151;afogados_da_ingazeira;2008;0;0;0;3;0;1;94;0;0;110;3;2
